ID,LAT,LON,NAME,LIBRARY_ID,LIBRARY_TYPE,MH_F,IH_F,TAS_F,SS_F,NL_F,NH_F,MH_F_size,Risk,Date_Assessed
PA01134,41.98716686,-77.15272251,COWANESQUE DAM,6927,dam_study,True,True,True,True,False,True,37.93897,Low (4),20090512
CO01280,39.64947623,-104.8582789,CHERRY CREEK DAM,1152,dam_study,True,False,True,True,True,True,38.345947,High (2),20070601
OK10309,36.14989089,-96.25297247,KEYSTONE DAM,67,dam_study,True,False,True,False,False,True,38.614093,High (2),20180906
PA00108,41.69729746,-80.1021851,WOODCOCK CREEK DAM,5183,dam_study,True,True,True,True,False,True,38.882586,Very Low (5),20200428
TN03701,36.15631282,-86.61879067,J. PERCY PRIEST DAM,6209,dam_study,True,True,True,True,False,True,38.888419,Moderate (3),20130626
TX00006,31.83451281,-99.56007376,HORDS CREEK DAM,4706,dam_study,True,True,True,True,False,True,39.379085,Very Low (5),20190530
CA10108,39.32723371,-120.1147894,MARTIS CREEK DAM,6669,dam_study,True,True,True,True,False,True,39.416421,Moderate (3),20160323
OR00009,43.91253973,-122.7515502,LOOKOUT POINT DAM,771,dam_study,True,False,True,True,True,True,40.172409,Moderate (3),20190919
PA00101,40.46811111,-79.36626662,CONEMAUGH DAM,5453,dam_study,True,True,True,True,False,True,40.758029,Moderate (3),20211202
OK10315,34.94174841,-94.71695613,WISTER DAM,6214,dam_study,True,True,True,True,False,True,40.811786,Moderate (3),20220812
WV10924,37.59972986,-81.82303359,R.D. BAILEY DAM,1031,dam_study,True,False,True,True,True,True,41.055687,Low (4),20210831
WV08902,37.64079494,-80.88636894,BLUESTONE DAM,38,dam_study,True,False,True,True,False,True,41.057966,High (2),20130918
OK10306,34.11213761,-95.08019859,PINE CREEK DAM,244,dam_study,True,False,True,True,True,True,41.393444,Very Low (5),20181126
GA03742,34.16416252,-84.72798524,ALLATOONA DAM,765,dam_study,True,False,True,True,True,True,42.402832,Low (4),20150407
OR00011,45.71794765,-120.6953956,JOHN DAY LOCK AND DAM,1470,dam_study,True,False,True,True,True,True,42.973086,Low (4),20180906
KS00011,37.74138636,-95.92610255,TORONTO DAM,4366,dam_study,True,True,True,True,False,True,43.176407,Low (4),20190329
CT00502,41.94591542,-71.89861616,WEST THOMPSON DAM,1509,dam_study,True,False,True,True,True,True,43.57367,Low (4),20170712
KS00006,38.36912101,-97.08473669,MARION DAM,963,dam_study,True,False,True,True,True,True,43.687309,Low (4),20150402
MN00585,47.24779984,-94.22169124,LEECH DAM,1504,dam_study,True,False,True,True,True,True,43.765163,Moderate (3),20100330
KS00003,37.65083292,-96.06290664,FALL RIVER DAM,4746,dam_study,True,True,True,True,False,True,44.108781,Moderate (3),20190530
MN00584,47.2509,-93.5877,POKEGAMA DAM,4291,dam_study,True,False,True,True,True,True,45.550386,Moderate (3),20100330
IN03004,40.71550322,-85.95813888,MISSISSINEWA DAM,983,dam_study,True,False,True,True,True,True,45.816737,Low (4),20190530
NM00001,36.23791519,-106.4266263,ABIQUIU DAM,747,dam_study,True,False,True,True,True,True,45.919111,Low (4),20191023
NY00740,42.3461766,-77.70603896,ALMOND DAM,5846,dam_study,True,True,True,True,False,True,46.099646,Low (4),20211202
NM00158,35.028332,-104.6883,SANTA ROSA DAM,247,dam_study,True,False,True,True,True,True,47.332291,Very Low (5),20150804
OR00014,43.70872322,-122.4236336,HILLS CREEK DAM,1471,dam_study,True,False,True,True,True,True,48.444309,High (2),20190919
KY03009,36.89341099,-86.12568147,BARREN RIVER DAM,1085,dam_study,True,False,True,True,True,True,48.863023,Low (4),20170203
KS00007,38.51441374,-95.7130005,MELVERN DAM,5826,dam_study,True,True,True,True,False,True,49.283677,Low (4),20220523
MS03605,34.52296003,-88.32534496,JAMIE L. WHITTEN LOCK AND DAM,1460,dam_study,True,False,True,True,True,True,51.565614,Low (4),20170712
OK21489,36.88405785,-95.9686335,COPAN DAM,6667,dam_study,True,True,True,True,False,True,52.497961,Moderate (3),20220811
OK10319,36.7483449,-98.13894906,GREAT SALT PLAINS DAM,1064,dam_study,True,False,True,True,True,True,52.673356,Low (4),20090903
IA00016,40.82617231,-92.8874853,RATHBUN DAM,151,dam_study,True,False,True,True,True,True,52.708052,Low (4),20180906
OR00001,45.64426344,-121.9408572,BONNEVILLE LOCKS AND DAM,721,dam_study,True,False,True,True,True,True,52.873214,High (2),20090515
KY03011,37.27714433,-86.2470187,NOLIN DAM,4926,dam_study,True,True,True,True,False,True,53.247178,Moderate (3),20190530
IN03003,39.71701531,-87.07048593,CECIL M. HARDEN DAM,6706,dam_study,True,True,True,True,False,True,56.729667,Very Low (5),20221110
PA00001,41.52217538,-75.5307433,AYLESWORTH CREEK DAM,5150,dam_study,True,True,True,True,False,True,57.777084,Very Low (5),20200428
OK10312,36.92818466,-96.08824964,HULAH DAM,740,dam_study,True,False,True,True,True,True,58.038759,Moderate (3),20090512
TX08012,33.33187704,-95.62789835,COOPER DAM,5165,dam_study,True,True,True,True,False,True,58.2872,Very Low (5),20200504
NM00404,35.61657592,-106.3178358,COCHITI DAM,7007,dam_study,True,True,True,True,False,True,61.275943,Low (4),20081229
OK10314,35.86965013,-95.23082715,FORT GIBSON DAM,989,dam_study,True,False,True,True,True,True,61.914199,Low (4),20150711
NC01713,35.94154371,-78.58269882,FALLS DAM,6215,dam_study,True,True,True,True,False,True,63.904966,Moderate (3),20120618
CA10106,35.6459311,-118.4821982,ISABELLA DAM,63,dam_study,True,False,True,False,False,True,65.002497,Very High (1),20081201
KS00001,38.68056143,-96.50265311,COUNCIL GROVE DAM,358,dam_study,True,False,True,True,True,True,66.119157,Low (4),20130606
TN04102,36.09790375,-85.82636891,CENTER HILL DAM,43,dam_study,True,False,True,False,False,True,66.125939,Moderate (3),20180123
LA00181,32.70890244,-93.91672372,CADDO DAM,4626,dam_study,True,True,True,True,False,True,66.270125,Very Low (5),20220523
IN03002,39.48644986,-86.91744979,CAGLES MILL DAM,6526,dam_study,True,True,True,True,False,True,68.286039,Very Low (5),20221110
IA00017,41.703602,-93.681099,SAYLORVILLE DAM,321,dam_study,True,False,True,True,True,True,68.617309,Low (4),20150721
AL01432,31.62527444,-85.06435947,WALTER F. GEORGE LOCK AND DAM,5566,dam_study,True,True,True,True,False,True,68.89127,Low (4),20210831
WV09901,38.14493478,-82.38417197,EAST LYNN DAM,5452,dam_study,True,True,True,True,False,True,69.442068,Very Low (5),20221112
